ID,Title,Category,Link,Preview Icon,Pages,PDF Link,Description,Keywords,Accession Number,Publisher,ISBN,Condition,Author,Language,Year,Script,Custodian,Digitization Sponsor
34,A Catalogue of Punjabi Urdu Manuscripts,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=34&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000001_200.jpg,270,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0000034.pdf,"As indexes, calendars and press-lists are essential aids for research in records, the catalogues are indispensable keys to the manuscripts libraries. But for the catalogues the scholars, many a time, are mot aware of availability of the source material they need. Hence a catalogue serves as a path finder to those interested in particular field of study. This catalogue pertains to the historical collection preserved in the Sikh History Research Department, Khalsa College, Amritsar.","Kirpal Singh,  Urdu Catalouge,  Urdu Manuscript,  Historical Collection,  Historical Record,  Sikh History,  Punjabi Urdu,  Manuscript",BK-000001,Sikh History Society,,Good,Dr. Kirpal Singh,Panjabi,,Gurmukhi,Nanakshahi,
243,Sri Anandpur Sahib te Vaisakhi,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=243&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000007_200.jpg,26,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0000243.pdf,"This small Souvenir contains three write-ups on the significance of Anandpur Sahib, historical day of Vaisakhi and the white falcon kept by Guru Gobind Singh. Written by Prof Joginder Singh, Principal Satbir Singh and Late Dr Taran Singh respectively.  Besides, it contains message by the various officials of Punjab and Sind Bank including its Chairman S. Inderjit Singh.  While Anandpur Sahib is a birthplace of the Khalsa and symbol of Sikh sovereignty, Vaisakhi Day stands unique in Sikh history.  Guru Gobind Singh's white falcon / Hawk is a symbol of Sikh spiritual strength as well as all that is best in Sikh faith.","Vaisakhi,  Sri Anandpur Sahib te Vaisakhi,  Prof Joginder Singh,  Principal Satbir Singh,  Dr Taran Singh,  Vaisakhi 1983",BK-000007,Sundar Printer,,Good,,Panjabi,,Gurmukhi,"Kirpal Singh, Dr.",
1529,Guru Gobind Singh &amp; The Mughals,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1529&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000074_200.jpg,142,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001529.pdf,"The book deals with the Sikh-Mughal relationship in general and Guru Gobind Singh and Mughal relationship in particular. Written into two parts, first part deals with the conciliatory attitude of Babar and Akbar towards the Sikh Gurus and the extremely intolerant attitude of Jahangir and Aurangzeb towards the Sikh Gurus leading to the execution of Guru Arjun Dev and Guru Tegh Bahadur.  The second part deals solely with the confrontation, battles and Correspondence between Guru Gobind Singh and Aurangzeb.  The book, in totality, deals with the Sikh-Mughal relationship.","Mughals,  Sikh History,  Zafarnama,  Jafarnama,  Guru Gobind Singh,  Aurangzeb,  Wazir Khan,  Sirhind,  Anandpur Sahib",BK-000074,"Guru Gobind Singh Foundation, Chandigarh",,Good,Kartar Singh,English,1967,Roman,Nanakshahi,
1579,Life of Maharaja Ala Singh of Patiala and His Times,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1579&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000716_200.jpg,244,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001579.pdf,"Biography of a political ruler and the history of his times is always intertwined. Each event in a ruler's life has a bearing on the history of his territory. Thus, biography is an essential ingredient of history. The present book records the biography as well as the history of Baba Ala Singh (1691-1762) and his state of Patiala. It records the details about the personal life, military exploits, diplomatic skill and administrative shill of the founder of the foremost Phulkian State of Patiala in the Cis Sutlej territory of Punjab. The account is analytical, well-researched, well documented and provides meaningful inferences about Baba Ala Singh's life as well as a political life","Ala Singh,  Fateh Kaur,  Bhadaur,  Barnala,  Longowal,  Patiala,  Ali Mohammad Khan,  Liz Sutlej territory,  Alamgir Sahib,  Marathas,  Panipat,  Ahmadshah Abdali,  Ghallughara,  Sirhind,  Guru Hargobind",BK-000716,Sikh History Research Department,,Good,Kirpal Singh,English,1954,Roman,Nanakshahi,
1584,Education in Punjab,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1584&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000663_200.jpg,144,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001584.pdf,"This booklet in the form of Statistical Tables is used by Director of Public Instructions Punjab at Chandigarh in the year 1994 entitled ?Education in Punjab ? Statistical Tables Volume ? II. It gives a statistical survey of the progress made by the state of Punjab in the field of Education during the year 1984-85.

The data given in this publication is actual and does not attempt to draw any general conclusion.  It contains a brief account of educational statistics relating to only important aspects of Education in Punjab.  The District Education Officer, Principals of Colleges, Registrar of Universities, Heads of various Departments engaged in imparting technical, professional and vocational education, supplies this data.

The data for this booklet has been collected, complied and analyzed in the statistical Branch of the Education Department and member have taken keen interest in preparing the booklet so that Educationalist, Planners, Research Scholars and others interested in the field of education will find this publications useful.","Higher Education,  Vocational,  10+2 pattern,  Elementary schools,  Post-Graduate Diplomas,  Post-Matric Certificate,  Scheduled Castes,  Pre-Primary School,  under graduate Engineering Colleges,  Physical Education,  Nursery Courses,  Stipends,  Scholarships,  Academic year,  Recognized institutions",BK-000663,"Director Public Information, Chandigarh",,Good,,English,1985,Roman,Nanakshahi,
1603,Sri Guru Granth Sahib Ji Steek,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1603&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000051_200.jpg,636,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001603.pdf,"Volume V contains a commentary on the hymns of Guru Granth Sahib recorded under Ragas Tilang, Suhi, Bilawal and Gond. The hymns are arranged in alphabetical order rather than page wise.  The hymns commented upon and explained primarily deal with subjects like Man v/s Animal v/s food, Satis and Saints, Treasure of God's Name, the four yugas (Epochs), lust, the concept of Guru, Man as  an embodiment of the Divine, pilgrimage, Dharam Raj or Divine Justice, Slanderers, meaning of low caste, Bhaghta / Devotee  materialistic pursuit, Vedas and Castes etc.  Commentary written in simple vernacular Punjabi helps the reader in the understanding of Gurbani.","Guru Granth Sahib,  Sikh Scripture,  Holy Scripture,  Sikh History,  Historic Record,  Bishan Singh Giani,  Khalsa College,  Amritsar",BK-000051,"Bishan Singh, Giani",,Good,Bishan Singh Giani,Panjabi,1930,Gurmukhi,Nanakshahi,Anonymous - ਹਮ ਰੁਲਤੇ ਫਿਰਤੇ ਕੋਈ ਬਾਤ ਨ ਪੂਛਤਾ
1635,Punjab Vidhan Sabha Debates,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1635&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000118_200.jpg,150,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001635.pdf,"It is an official report of Punjab Government containing the proceedings of Punjab Vidhan Sabha Debates which took place on March 4, 1986. It contains the contents of the verbal and written answers given to the starred and unstarred questions asked by the members.  It also contains the record of discussion on the Governor's Address as well as walkout by the opposition.","Punjab Vidhan Sabha Debates,  Official Report,  Govt Documents,  March 1986",BK-000118,Punjab Vidhan Sabha Secretariat Chandigarh,,Good,,English,1986,Roman,Nanakshahi,
1679,Panjab Da Ujara,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1679&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000181_200.jpg,376,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001679.pdf,,"Panjab Da Ujara,  Sohan Singh Sheetal,  British Rule,  Partition of Punjab,  Independence Struggle,  Destroyed Punjab",BK-000181,Khalsa Brother Mai Sewa Bazar Amritsar,,Good,Sohan Singh Sheetal,Panjabi,1948,Gurmukhi,Nanakshahi,
1733,Murakh Tolae Nu Updesh,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1733&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000224_200.jpg,22,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001733.pdf,,"Murakh Tolae Nu Updesh,  Khajan Singh,  Punjabi Literature,  Nirankari,  Sikh Scripture",BK-000224,,,Good,"Khajan Singh, Gyani",Panjabi,,Gurmukhi,"Man Singh Nirankari, Dr.",
1768,Vadda Jung Europe - World War 1,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1768&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000262_200.jpg,92,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001768.pdf,,"World History,  1914-1918,  First World War,  Nand Singh Hauldar,  Europe,  War,  1914,  World War 1",BK-000262,Gurdit Singh Gajan Singh,,Good,T.S. Subrahmanyam & K.S. Srinivasan,Panjabi,1934,Gurmukhi,Punjab Languages Department,
