ID,Title,Category,Link,Preview Icon,Pages,PDF Link,Description,Keywords,Accession Number,Publisher,ISBN,Condition,Author,Language,Year,Script,Custodian,Digitization Sponsor
40,Charitro Pakhiaan Tricharitar,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=40&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000041_200.jpg,299,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0000040.pdf,,,MN-000041,,,Good,Unknown,Panjabi,,Gurmukhi,,
43,Sri Guru Granth Sahib Ji,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=43&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000086_200.jpg,1969,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0000043.pdf,,,MN-000086,,,Good,,Panjabi,,Gurmukhi,,Kaur
150,Sri Guru Granth Sahib Ji,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=150&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000231_200.jpg,1208,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0000150.pdf,,,MN-000231,,,Good,,Panjabi,,Gurmukhi,"Man Singh Nirankari, Dr.",
153,Japu Ji,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=153&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000064_200.jpg,19,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0000153.pdf,,"Guru Nanak,  Japji Sahib,  Jap",MN-000064,,,Good,,Panjabi,,Gurmukhi,Central Public Library,
157,Dasam Granth,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=157&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000106_200.jpg,1480,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0000157.pdf,,,MN-000106,,,Good,,Panjabi,,Gurmukhi,"Gurtej Singh, Ex. IAS",
170,Zafarnama Steek,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=170&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000248_200.jpg,320,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0000170.pdf,"Written in exquisite Persian verse, the Zafarnama or 'Epistle of Victory' was a defiant message composed by Guru Gobind Singh Sahib, the tenth Sikh guru, and addressed to the Mughal emperor Aurangzeb, following a series of fierce battles between the imperial forces and Sikh warriors. Despite the ravages of the war and the loss of his four sons and many brave fighters, the Guru Sahib wrote about moral victory over the emperor.<br><br>With wisdom and honesty, the Guru Sahib indicts the emperor for the moral and spiritual bankruptcy of his empire, as exposed by the treachery of the emperor's commanders in battle. The 111 stirring stanzas in this timeless text form the core of the Guru Sahib's spiritual philosophy, highlighting his espousal of morality in thought and action as well as his deep understanding of the true nature of the Creator.",,MN-000248,,,Good,,Panjabi,,Gurmukhi,,
369,Zafarnama,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=369&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000830_200.jpg,171,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0000369.pdf,"Written in exquisite Persian verse, the Zafarnama or 'Epistle of Victory' was a defiant message composed by Guru Gobind Singh Sahib, the tenth Sikh guru, and addressed to the Mughal emperor Aurangzeb, following a series of fierce battles between the imperial forces and Sikh warriors. Despite the ravages of the war and the loss of his four sons and many brave fighters, the Guru Sahib wrote about moral victory over the emperor.<br><br>With wisdom and honesty, the Guru Sahib indicts the emperor for the moral and spiritual bankruptcy of his empire, as exposed by the treachery of the emperor's commanders in battle. The 111 stirring stanzas in this timeless text form the core of the Guru Sahib's spiritual philosophy, highlighting his espousal of morality in thought and action as well as his deep understanding of the true nature of the Creator.",,MN-000830,,,Good,,Persian,,Gurmukhi,Punjab Languages Department,
1598,Zafarnama,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1598&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000167_200.jpg,254,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001598.pdf,"Written in exquisite Persian verse, the Zafarnama or 'Epistle of Victory' was a defiant message composed by Guru Gobind Singh Sahib, the tenth Sikh guru, and addressed to the Mughal emperor Aurangzeb, following a series of fierce battles between the imperial forces and Sikh warriors. Despite the ravages of the war and the loss of his four sons and many brave fighters, the Guru Sahib wrote about moral victory over the emperor.<br><br>With wisdom and honesty, the Guru Sahib indicts the emperor for the moral and spiritual bankruptcy of his empire, as exposed by the treachery of the emperor's commanders in battle. The 111 stirring stanzas in this timeless text form the core of the Guru Sahib's spiritual philosophy, highlighting his espousal of morality in thought and action as well as his deep understanding of the true nature of the Creator.",,MN-000167,,,Good,,Panjabi,,Gurmukhi,"SGPC, Sri Amritsar jio",
1778,Sri Guru Granth Sahib Ji,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1778&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001019_200.jpg,1688,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001778.pdf,,,MN-001019,,,Good,,Panjabi,,Gurmukhi,Punjab Languages Department,kaur
1839,Dasam Granth,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1839&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000193_200.jpg,556,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001839.pdf,,,MN-000193,,,Partially Damaged,,Panjabi,,Gurmukhi,,
